filename,composer,type,tracks,4per_beat,first_key_sig,predicted_key_sig,first_time_n,first_time_d,first_time_32nd,time_clocks_per_click,first_note,first_note_time,has_note_off,has_key_change,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\acttrag_0.mid,Bach,1,6,240,C,D#,4,4,8,24,D#,0,True,False,70.0,24.0,57.0,90.0,14.0,96.0,0.0,75.0,89.0,10.0,105.0,0.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_28.mid,Beethoven,1,14,240,C,C,2,4,8,24,D,0,True,False,115.0,0.0,11.0,40.0,54.0,35.0,53.0,105.0,8.0,15.0,0.0,3.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_14.mid,Haydn,1,12,192,,C,3,4,8,24,E,0,True,False,71.0,0.0,12.0,4.0,107.0,8.0,5.0,19.0,30.0,23.0,0.0,34.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\acttrag_1.mid,Bach,1,6,240,C,D#,4,4,8,24,D#,0,True,False,8.0,8.0,14.0,40.0,0.0,10.0,0.0,12.0,16.0,0.0,24.0,0.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_15.mid,Haydn,1,12,192,,F,3,4,8,24,C,0,True,False,99.0,5.0,33.0,8.0,31.0,29.0,9.0,105.0,1.0,31.0,42.0,12.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_29.mid,Beethoven,1,14,240,C,G,2,4,8,24,G,0,True,False,27.0,0.0,39.0,20.0,56.0,10.0,20.0,31.0,8.0,8.0,0.0,16.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\air_0.mid,Bach,1,9,240,C,D,4,4,8,24,F#,0,True,False,20.0,84.0,96.0,30.0,132.0,0.0,80.0,56.0,30.0,110.0,8.0,134.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_3.mid,Beethoven,1,14,240,C,G,2,4,8,24,C,0,True,False,21.0,12.0,45.0,6.0,26.0,6.0,16.0,17.0,6.0,31.0,0.0,14.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\air_1.mid,Bach,1,9,240,C,D,4,4,8,24,F#,0,True,False,14.0,116.0,124.0,22.0,160.0,0.0,136.0,90.0,36.0,128.0,18.0,144.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_17.mid,Haydn,1,12,192,,C,3,4,8,24,A,0,True,False,160.0,0.0,87.0,6.0,91.0,86.0,21.0,99.0,3.0,58.0,0.0,71.0
